elem_index,area_name,onrc,surf_class,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
0,BETHLEHEM ROAD/CARMICHAEL ROAD RAB_0_id_2114,Primary Collector,ac,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.56,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48
1,CHERTSEY KYLE ROAD_383_id_118,Secondary Collector,seal,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,4.38,4.38,4.38
2,REIGHTON DRIVE_146_id_505,Access,seal,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
3,NESS ST_1382_id_5517,Access,seal,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54
4,COURTNEY ROAD_19_id_116,Primary Collector,ac,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63,11.63
5,MARONAN EALING ROAD_4215_id_370,Secondary Collector,seal,9.07,9.07,9.07,9.07,9.07,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69,5.69
6,MICHAEL STREET WEST_443_id_731,Low Volume,seal,7.2,7.2,7.2,7.2,7.2,7.2,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67
7,LAYARD ST_446_id_5457,Primary Collector,seal,12.02,12.02,12.02,12.02,5.13,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11
8,COMPANY ROAD_2524_id_135,Secondary Collector,seal,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75
9,DALWOOD DR_147_id_3766,Access,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,13.73,13.73,13.73
10,MAINWARINGS ROAD_9157_id_364,Access,seal,10.4,10.4,10.4,10.4,10.4,10.4,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63,6.63
11,JONAS STREET_93_id_454,Secondary Collector,seal,10.99,10.99,10.99,10.99,10.99,10.99,10.99,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
12,TAURIKURA DRIVE (EASTBOUND)_785_id_2139,Arterial,ac,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72,8.91,8.91,8.91,8.91,8.91,8.91
13,HILLVIEW RD_0_id_1152,Secondary Collector,seal,30,30,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.49,2.49,2.49,2.49
14,REDMOND STREET_206_id_490,Access,ac,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.83,8.72,8.72,8.72,8.72
15,SPEARGRASS GROVE (24-32)_00000,Low Volume,ac,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.89,8.89,8.89,8.89,8.89,8.89
16,RICHARD PEARSE DRIVE_726_id_773,Secondary Collector,seal,8.7,8.7,8.7,8.7,8.7,8.7,8.7,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
17,SYMES ROAD_105_id_671,Low Volume,seal,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,19.3,4.55,4.55,4.55,4.55,4.55
18,ARMAGH ST 1 WEST FITZGERALD AVE_576_id_116,Primary Collector,ac,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.37,8.37,8.37,8.37,8.37,8.37
19,BROCKWORTH PL 1 OFF DEANS AVE_145_id_363,Low Volume,block,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,8.06,8.06,8.06,8.06,8.06,8.06,8.06
20,RANDOLPH ST_365_id_1980,Access,seal,12.05,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.78,2.78,2.78
21,BLACK BEECH ST. SOUTH_00000,Low Volume,seal,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,4.91,4.91,4.91,4.91,4.91,4.91,4.91
22,GEORGE ST_0_id_5373,Access,seal,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,10.95,5.8,5.8,5.8,5.8,5.8,5.8,5.8
23,KELVIN ST_0_id_5434,Primary Collector,ac,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
24,STAUNTON RD_123_id_5186,Access,seal,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,2.6,2.6,2.6,2.6,2.6
25,TUARANGI ROAD_500_id_602,Low Volume,seal,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
26,STEAD ST_2315_id_5130,Arterial,ac,12.1,12.1,12.1,12.1,12.1,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01,8.01
27,KERRIGAN CRESCENT_00003,Low Volume,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
28,BANK ST_00000,Secondary Collector,seal,7.07,7.07,7.07,7.07,7.07,7.07,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
29,FORTH ST_130_id_5366,Secondary Collector,ac,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
30,TAIPARI STREET_593_id_568,Secondary Collector,seal,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83
31,OLIVE STREET_7_id_289,Access,seal,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,6.51
32,CASHMERE RD 1 EAST HENDERSONS RD_1840_id_457,Arterial,ac,19.7,19.7,19.7,19.7,19.7,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
33,MARONAN ROAD_16550_id_371,Secondary Collector,seal,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,5.68,5.68,5.68,5.68
34,GALLAGHER DR_0_id_3989,Secondary Collector,seal,8.4,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,2.88,2.88,2.88
35,BEACH ROAD EAST_300_id_5069,Primary Collector,seal,13.7,13.7,13.7,13.7,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,3.87
36,LARK PLACE_5_id_2082,Low Volume,ac,17.9,17.9,17.9,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9,9
37,KOTARE LANE_126_id_5715,Low Volume,ac,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4
38,MEANDER DRIVE_577_id_385,Low Volume,ac,24.9,24.9,24.9,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84,13.84
39,WIGRAM RD1_1200_id_2621,Arterial,seal,9.3,9.3,9.3,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33
40,RICHARD PEARSE A.L._8_id_1043,Low Volume,seal,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,6.76,6.76,6.76,6.76
